Purchase order,ShipType,Ship Date,SKU,Qty Shipped,Weight [Kg],Customer,MOQ,Boxes
71666125361,L,1/3/25  5:11 p.m.,3015018,3,6.40,Customer  57,2,1
71666125341,L,1/3/25  5:11 p.m.,3015018,3,6.40,Customer  57,2,1
71666125301,L,1/3/25  5:11 p.m.,3015018,1,6.40,Customer  57,2,0
71666125331,T,1/4/25  9:24 a.m.,3015018,3,6.40,Customer  57,2,1
71666127101,L,1/3/25  5:11 p.m.,3002281,10,2.51,Customer  56,10,1
71666127101,L,1/3/25  5:11 p.m.,3002289,4,2.43,Customer  56,10,0
71666127101,L,1/3/25  5:11 p.m.,3002291,2,4.34,Customer  56,10,0
71666127101,L,1/3/25  5:11 p.m.,3002291,2,7.72,Customer  56,4,0
71666127101,L,1/3/25  5:11 p.m.,3005104,10,0.70,Customer  56,40,0
71666127101,L,1/3/25  5:11 p.m.,3005126,20,0.83,Customer  56,36,0
71666127101,L,1/3/25  5:11 p.m.,3005132,2,1.55,Customer  56,16,0
71666127101,L,1/3/25  5:11 p.m.,3006127,30,0.40,Customer  56,40,0
71666127101,L,1/3/25  5:11 p.m.,3006151,10,0.42,Customer  56,40,0
71666127101,L,1/3/25  5:11 p.m.,3018012,4,2.15,Customer  56,20,0
71666127101,L,1/3/25  5:11 p.m.,3018027,2,6.99,Customer  56,6,0
71666127101,L,1/3/25  5:11 p.m.,3024022,6,3.03,Customer  56,10,0
71666127101,L,1/3/25  5:11 p.m.,3029074,4,1.74,Customer  56,12,0
71666127101,L,1/3/25  5:11 p.m.,3029213,2,1.70,Customer  56,16,0
71666127101,L,1/3/25  5:11 p.m.,3074000,12,19.57,Customer  56,2,6
71666127101,L,1/3/25  5:11 p.m.,3074000,6,27.29,Customer  56,2,3
71666127101,L,1/3/25  5:11 p.m.,3074003,40,4.32,Customer  56,300,0
71666127101,L,1/3/25  5:11 p.m.,3113206,10,1.09,Customer  56,18,0
71666127101,L,1/3/25  5:11 p.m.,3113207,4,1.37,Customer  56,27,0
71666127101,L,1/3/25  5:11 p.m.,3113220,10,1.57,Customer  56,27,0
71666127101,L,1/3/25  5:11 p.m.,3113253,4,1.50,Customer  56,24,0
71666127101,L,1/3/25  5:11 p.m.,3175002,2,14.91,Customer  56,1,2
71666127101,L,1/3/25  5:11 p.m.,3175002,2,25.05,Customer  56,1,2
71666127101,L,1/3/25  5:11 p.m.,3278012,10,1.23,Customer  56,30,0
71666126871,L,1/2/25  5:19 p.m.,3113196,1,5.16,Customer  342,9,0
